c7,c10,c144,c151,c30,c31,c35,c106,c108,c117,c62,c65,c41,c49,c56,c128,c51,c101,c109,c156,c1
8.0,13.0,7.0,1.0,5.0,0.24236684095003608,2740.0,1.0,18.0,0.0,0.0,0.0,3.0,3.0,0.8012734514645709,85.0,11.0,1.0,1.0,3.0,0
8.0,14.0,45.0,2.0,5.0,0.35893283961419287,2522.0,1.0,3.0,0.0,0.0,0.0,3.0,3.0,1.348199930892171,126.0,11.0,6.0,3.0,3.0,0
8.0,12.0,10.0,1.0,5.0,0.1111681228055826,206.0,1.0,18.0,0.0,0.04072704535892328,0.0,1.0,2.0,0.0933678758110399,14.0,9.0,13.0,1.0,3.0,0
8.0,20.0,20.0,1.0,5.0,0.36828213585883723,2006.0,1.0,3.0,0.0,0.0,0.0,3.0,3.0,1.3920667346137372,36.0,11.0,11.0,1.0,4.0,0
8.0,15.0,7.0,1.0,4.0,0.10332822291600541,140.0,1.0,3.0,0.0,0.0,0.0,3.0,2.0,0.14890566400898606,179.0,11.0,1.0,1.0,10.0,0
8.0,12.0,10.0,1.0,5.0,0.13436982150355645,206.0,1.0,18.0,0.0,0.04072704535892328,0.0,1.0,2.0,0.20222998963382566,14.0,9.0,13.0,1.0,3.0,0
8.0,13.0,10.0,1.0,5.0,0.07459415040743644,1559.0,1.0,18.0,5.0,0.0,0.0,13.0,2.0,0.014085670919768952,76.0,9.0,11.0,1.0,3.0,0
8.0,16.0,20.0,1.0,5.0,0.11845050140078456,1218.0,1.0,18.0,0.0,0.08145409071784657,0.0,1.0,2.0,0.035214177299422375,180.0,14.0,13.0,1.0,3.0,0
8.0,0.0,20.0,1.0,4.0,0.12558641287882202,1182.0,1.0,18.0,0.0,0.0,0.0,3.0,2.0,0.2533408526855587,89.0,11.0,1.0,1.0,3.0,0
8.0,20.0,21.0,2.0,5.0,0.2293899768819272,2636.0,1.0,18.0,6.0,0.12218113607676984,0.0,3.0,0.0,0.4634185732603985,124.0,9.0,13.0,1.0,3.0,0
8.0,15.0,7.0,1.0,5.0,0.47901553213836956,1761.0,1.0,18.0,0.0,0.0,0.0,5.0,0.0,1.911626767682929,82.0,11.0,1.0,1.0,3.0,0
8.0,14.0,10.0,1.0,5.0,0.5004588597262019,1560.0,1.0,18.0,0.0,0.0,0.0,3.0,0.0,2.0122387028241357,209.0,11.0,2.0,1.0,3.0,0
8.0,16.0,20.0,1.0,5.0,0.1400570287568508,1159.0,1.0,18.0,0.0,0.12218113607676984,0.0,1.0,2.0,0.04426925146213099,49.0,9.0,13.0,1.0,3.0,0
8.0,12.0,10.0,1.0,5.0,0.07210672414932649,1560.0,1.0,18.0,0.0,0.0,0.0,13.0,2.0,0.0024146864433889632,175.0,13.0,11.0,1.0,3.0,0
